Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__ArmouredDurable__AND__HasFireControl__AND__SecretMissionTarget,interaction,0.12369459695143259,,,,,,,,ArmouredDurable | HasFireControl | SecretMissionTarget,3,28,0.12369459695143259
INT__ArmouredDurable__AND__HasFireControl__AND__SupportAuraDurable,interaction,0.003941674984605431,,,,,,,,ArmouredDurable | HasFireControl | SupportAuraDurable,3,3,0.003941674984605431
INT__ArmouredDurable__AND__HasMobilityKeyword__AND__KW_Jump Pack,interaction,-0.055479862369284295,,,,,,,,ArmouredDurable | HasMobilityKeyword | KW_Jump Pack,3,5,0.055479862369284295
INT__ArmouredDurable__AND__HasMobilityKeyword__AND__KW_Knockback,interaction,0.012512966580125394,,,,,,,,ArmouredDurable | HasMobilityKeyword | KW_Knockback,3,3,0.012512966580125394
INT__ArmouredDurable__AND__HasMobilityKeyword__AND__KW_Solid,interaction,-0.055479862369284295,,,,,,,,ArmouredDurable | HasMobilityKeyword | KW_Solid,3,5,0.055479862369284295
INT__ArmouredDurable__AND__HasMobilityKeyword__AND__KW_Weight of Fire(1),interaction,-0.02166075255863125,,,,,,,,ArmouredDurable | HasMobilityKeyword | KW_Weight of Fire(1),3,4,0.02166075255863125
INT__ArmouredDurable__AND__HasRampage__AND__KW_Augmented,interaction,0.026600346303660205,,,,,,,,ArmouredDurable | HasRampage | KW_Augmented,3,3,0.026600346303660205
INT__ArmouredDurable__AND__HasRampage__AND__KW_Solid,interaction,0.035126282400976705,,,,,,,,ArmouredDurable | HasRampage | KW_Solid,3,3,0.035126282400976705
INT__ArmouredDurable__AND__HasRampage__AND__RampageDurable,interaction,0.01629477105535332,,,,,,,,ArmouredDurable | HasRampage | RampageDurable,3,4,0.01629477105535332
INT__ArmouredDurable__AND__HasRampage__AND__SecretMissionTarget,interaction,0.01629477105535332,,,,,,,,ArmouredDurable | HasRampage | SecretMissionTarget,3,4,0.01629477105535332
INT__ArmouredDurable__AND__HasSpecialOrder__AND__KW_Frenzy(1),interaction,0.005006126529556056,,,,,,,,ArmouredDurable | HasSpecialOrder | KW_Frenzy(1),3,4,0.005006126529556056
INT__ArmouredDurable__AND__HasSpecialOrder__AND__KW_Recon(5+),interaction,0.009141862146329165,,,,,,,,ArmouredDurable | HasSpecialOrder | KW_Recon(5+),3,6,0.009141862146329165
INT__ArmouredDurable__AND__HasSpecialOrder__AND__KW_Solid,interaction,0.031381387780645205,,,,,,,,ArmouredDurable | HasSpecialOrder | KW_Solid,3,4,0.031381387780645205
INT__ArmouredDurable__AND__HasSpecialOrder__AND__KW_Tactician(2),interaction,-0.06593479300985722,,,,,,,,ArmouredDurable | HasSpecialOrder | KW_Tactician(2),3,5,0.06593479300985722
INT__ArmouredDurable__AND__HasSpecialOrder__AND__RoleCommandLeader,interaction,-0.0028470794063128082,,,,,,,,ArmouredDurable | HasSpecialOrder | RoleCommandLeader,3,7,0.0028470794063128082
